Source IP,total_packets,total_bytes,packet_size_std,unique_target_ips,unique_target_ports,total_syn_flags,total_ack_flags,total_fin_flags,total_rst_flags,avg_ttl,avg_window_size,iat_mean,iat_std,flow_duration_sec,packets_per_second,bytes_per_second,avg_packet_size,syn_ack_ratio
host_096,64,21731,481.92230585330685,9,3,0.0,0.0,0.0,0.0,64.0,34587.96875,28.122408953924026,143.85668471390565,1771.7117640972137,0.03612325734745662,12.265539147149683,339.546875,0.0
host_097,449,68490,275.3493947952794,15,11,0.0,0.0,0.0,0.0,67.84187082405346,12093.861915367483,4.55086975651128,46.16350908274418,2038.7896509170532,0.22022870274922113,33.59346069330547,152.53897550111358,0.0
host_098,210,44145,50.025130390034825,2,2,0.0,0.0,0.0,0.0,255.0,502.5,9.737111439545188,67.41840883729363,2035.0562908649445,0.10319124878395639,21.692274655084546,210.21428571428572,0.0
host_099,385,49029,141.89400901508242,7,2,0.0,0.0,0.0,0.0,64.0,21540.33766233766,5.283820840840538,50.458802854869276,2028.9872028827667,0.18974984142482293,24.16427266290297,127.34805194805195,0.0
host_100,210,44145,50.025130390034825,2,2,0.0,0.0,0.0,0.0,255.0,502.5,9.737172527176341,67.41790727670644,2035.0690581798553,0.10319060139797999,21.692138565303935,210.21428571428572,0.0
host_101,853,134192,28.30963319796366,1,1,0.0,0.0,0.0,0.0,64.0,3233.0,2.39314509249629,33.476348233327855,2038.959618806839,0.418350609856197,65.81395666802202,157.3177022274326,0.0
host_102,142,20574,75.2481566977222,7,3,0.0,0.0,0.0,0.0,64.0,5933.802816901409,14.222500199121786,83.70023268120897,2005.3725280761719,0.07080978621773873,10.259440434110964,144.88732394366198,0.0
"host_102,host_103",1,348,0.0,1,1,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.1,10.0,3480.0,348.0,0.0
"host_102,host_104",1,121,0.0,1,1,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.1,10.0,1210.0,121.0,0.0
host_105,152,17962,282.5405738035553,8,3,0.0,0.0,0.0,0.0,80.33552631578948,11178.322368421053,13.450766032894716,80.34535587989608,2031.065670967102,0.07483756048499625,8.843633298891465,118.17105263157895,0.0
"host_105,host_056",3,906,0.0,1,3,0.0,0.0,0.0,0.0,64.0,0.0,900.0081850290298,300.1227308511734,1800.0163700580597,0.0016666515093433482,0.5033287558216911,302.0,0.0
"host_105,host_106",3,906,0.0,1,3,0.0,0.0,0.0,0.0,64.0,0.0,900.0064805746078,300.12490451335907,1800.0129611492157,0.0016666546656889927,0.5033297090380758,302.0,0.0
host_107,258,48141,67.93365576337617,4,3,0.0,0.0,0.0,0.0,64.0,824.5930232558139,7.913336662003038,60.68159835450902,2033.7275221347809,0.12686065227124443,23.67131263949604,186.59302325581396,0.0
host_108,1474,2228378,1570.185272536482,6,6,0.0,0.0,0.0,0.0,68.12550881953867,22845.04748982361,1.377616098440187,25.778150424251375,2029.2285130023956,0.7263844315981479,1098.140493158628,1511.7896879240163,0.0
host_109,210,44145,50.025130390034825,2,2,0.0,0.0,0.0,0.0,255.0,502.5,9.737050708971525,67.42103384580429,2035.0435981750488,0.1031918923940107,21.692409951112392,210.21428571428572,0.0
host_110,26,4180,54.19764400215765,2,2,0.0,0.0,0.0,0.0,196.23076923076923,1123.076923076923,79.3037082862854,203.89864343158845,1982.592707157135,0.01311414084503606,2.108350335855797,160.76923076923077,0.0
host_111,210,44145,50.025130390034825,2,2,0.0,0.0,0.0,0.0,255.0,502.5,9.737073631377882,67.4211057856541,2035.0483889579773,0.1031916494661476,21.69235888420517,210.21428571428572,0.0
host_112,86,7445,9.331213523847444,4,2,0.0,0.0,0.0,0.0,64.0,0.0,23.356349846896002,110.03532349026021,1985.2897369861603,0.04331861410342823,3.7500823488374784,86.56976744186046,0.0
host_113,304,28892,21.563898928899814,6,9,0.0,0.0,0.0,0.0,64.0,691.2434210526316,6.712989607266467,56.262575811040094,2034.0358510017395,0.14945655940640548,14.20427274463772,95.03947368421052,0.0
"host_113,host_056",450,100800,0.0,1,153,0.0,0.0,0.0,0.0,64.0,0.0,4.536902118100886,46.101041133287325,2037.069051027298,0.2209056191654692,49.4828586930651,224.0,0.0
host_114,198,25755,61.31941269931283,7,3,0.0,0.0,0.0,0.0,64.0,11482.828282828283,10.168295477852604,70.99845948629307,2003.154209136963,0.09884411249861094,12.857222815160227,130.07575757575756,0.0
"host_114,host_056",1,121,0.0,1,1,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.1,10.0,1210.0,121.0,0.0
"host_114,host_103",4,1392,0.0,1,4,0.0,0.0,0.0,0.0,64.0,0.0,446.4543279806773,450.4313692307607,1339.3629839420319,0.0029864943618399427,1.0393000379203001,348.0,0.0
"host_114,host_104",5,605,0.0,1,5,0.0,0.0,0.0,0.0,64.0,0.0,395.64259099960327,400.0609988182151,1582.570363998413,0.0031594171821639227,0.3822894790418347,121.0,0.0
host_115,1,90,0.0,1,1,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.1,10.0,900.0,90.0,0.0
host_116,43,2880,11.34625671877026,1,1,0.0,0.0,0.0,0.0,255.0,11758.255813953489,47.9021631422497,150.72536263413014,2011.8908519744873,0.02137292883348986,1.431489186987228,66.97674418604652,0.0
host_117,22,2156,0.0,1,1,0.0,0.0,0.0,0.0,55.0,0.0,95.78446852593194,207.92141770157008,2011.473839044571,0.010937253854839976,1.0718508777743176,98.0,0.0
host_118,1,90,0.0,1,1,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.1,10.0,900.0,90.0,0.0
host_119,1,145,0.0,1,1,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.1,10.0,1450.0,145.0,0.0
host_120,2,180,0.0,1,2,0.0,0.0,0.0,0.0,53.5,0.0,98.85953688621521,0.0,98.85953688621521,0.020230723944235633,1.8207651549812072,90.0,0.0
host_121,1,90,0.0,1,1,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.1,10.0,900.0,90.0,0.0
"205.174.165.65,host_108",59,6490,0.0,1,1,0.0,0.0,0.0,0.0,253.0,0.0,34.98604769131233,127.15675154023839,2029.190766096115,0.029075630042170907,3.1983193046387997,110.0,0.0
"205.174.165.69,host_113",28,2744,0.0,1,4,0.0,0.0,0.0,0.0,63.0,0.0,66.70845937728882,245.36404051493338,1801.128403186798,0.015545810032454456,1.5234893831805367,98.0,0.0
host_122,1,90,0.0,1,1,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.1,10.0,900.0,90.0,0.0
host_123,1,90,0.0,1,1,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.1,10.0,900.0,90.0,0.0
host_124,1,60,0.0,1,1,0.0,0.0,0.0,0.0,234.0,9300.0,0.0,0.0,0.1,10.0,600.0,60.0,0.0
host_125,1,90,0.0,1,1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.1,10.0,900.0,90.0,0.0
host_126,2,180,0.0,1,2,0.0,0.0,0.0,0.0,56.0,0.0,100.6077151298523,0.0,100.6077151298523,0.01987919114770315,1.7891272032932835,90.0,0.0
